 INFO 2015-04-23 11:39:07,289 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
ERROR 2015-04-23 11:39:57,134 [main] (StartPoint.java:84) - java.lang.NullPointerException
 INFO 2015-04-23 11:40:10,344 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-23 11:40:10,530 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-23 11:40:10,530 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-23 11:40:10,651 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-23 11:40:10,653 [main] (TestEngine.java:68) - Total 1 sets for execution in [Items API] suite
 INFO 2015-04-23 11:40:10,653 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-23 11:40:10,654 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
ERROR 2015-04-23 11:40:10,655 [main] (StartPoint.java:84) - java.lang.NullPointerException
 INFO 2015-04-23 11:40:22,635 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-23 11:40:22,850 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-23 11:40:22,850 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-23 11:40:22,977 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-23 11:40:22,978 [main] (TestEngine.java:68) - Total 1 sets for execution in [Items API] suite
 INFO 2015-04-23 11:40:22,979 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-23 11:40:22,980 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-23 11:41:07,194 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-23 11:41:11,241 [main] (TestcaseRun.java:356) - java.lang.NullPointerException
 INFO 2015-04-23 11:41:11,241 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item'
 INFO 2015-04-23 11:41:11,244 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-23 11:41:29,110 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-23 11:41:29,322 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-23 11:41:29,322 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-23 11:41:29,452 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-23 11:41:29,453 [main] (TestEngine.java:68) - Total 1 sets for execution in [Items API] suite
